id,text,modText,tokens,sentiment
DFD035A3-9B62-ED11-B67D-D85ED3AE4DFE,"Fitch have affirmed Malta's A+ rating, lauding the first Budget of this administration as expansionary with many social measures that will lead to inflation being among the lowest in the euro zone. They confirm this is sustainable as we are boosting Malta's economic potential.-RA",fitch affirm malta rate laud first budget administr expansionari mani social measur lead inflat among lowest euro zone confirm sustain boost malta econom potenti,"['fitch', 'affirm', 'malta', 'rate', 'laud', 'first', 'budget', 'administr', 'expansionari', 'mani', 'social', 'measur', 'lead', 'inflat', 'among', 'lowest', 'euro', 'zone', 'confirm', 'sustain', 'boost', 'malta', 'econom', 'potenti']",0
DFD035A3-9B62-ED11-B67D-D85ED3AE4DFE,"After the IMF forecast that next year Malta's growth will be six times the EU average, now the European Commission is predicting that our economic growth will be nine times the EU average. @MaltaGov policies are making a real difference. - RA",forecast next year malta growth time averag european commiss predict econom growth nine time averag polici make real differ,"['forecast', 'next', 'year', 'malta', 'growth', 'time', 'averag', 'european', 'commiss', 'predict', 'econom', 'growth', 'nine', 'time', 'averag', 'polici', 'make', 'real', 'differ']",0
DFD035A3-9B62-ED11-B67D-D85ED3AE4DFE,In a meeting with @OSCE_RfoM I underlined several reforms undertaken to further enhance the protection of journalists. The media is a vital pillar in our democracy. @MaltaGov remains strongly committed to deliver even more and will continue to support the work of @OSCE. - RA https://t.co/FnsITrNIKW,meet underlin sever reform undertaken enhanc protect journalist media vital pillar democraci remain strongli commit deliv even continu support work,"['meet', 'underlin', 'sever', 'reform', 'undertaken', 'enhanc', 'protect', 'journalist', 'media', 'vital', 'pillar', 'democraci', 'remain', 'strongli', 'commit', 'deliv', 'even', 'continu', 'support', 'work']",0
DFD035A3-9B62-ED11-B67D-D85ED3AE4DFE,"RT @PES_PSE: We, European socialists, want to lead a fair transition to greener societies and economies. That's why we are as united as eve…",european socialist want lead fair transit greener societi economi unit,"['european', 'socialist', 'want', 'lead', 'fair', 'transit', 'greener', 'societi', 'economi', 'unit']",0
DFD035A3-9B62-ED11-B67D-D85ED3AE4DFE,Saddened to learn about the passing of Notary Tony Abela. Heartfelt condolences to all his family. May he rest in peace. - RA,sadden learn pass notari toni abela heartfelt condol famili rest peac,"['sadden', 'learn', 'pass', 'notari', 'toni', 'abela', 'heartfelt', 'condol', 'famili', 'rest', 'peac']",1
DFD035A3-9B62-ED11-B67D-D85ED3AE4DFE,During my national statement at #COP27 I reiterated my call for global action to combat #climatechange. #Malta will strengthen its resolve &amp; bolster its support to Small Island Developing States. Our action or inaction will define our relationship with our planet. - RA https://t.co/H09CZozPAB,nation statement #cop reiter call global action combat #climatechang #malta strengthen resolv bolster support small island develop state action inact defin relationship planet,"['nation', 'statement', '#', 'cop', 'reiter', 'call', 'global', 'action', 'combat', '#', 'climatechang', '#', 'malta', 'strengthen', 'resolv', 'bolster', 'support', 'small', 'island', 'develop', 'state', 'action', 'inact', 'defin', 'relationship', 'planet']",1
DFD035A3-9B62-ED11-B67D-D85ED3AE4DFE,Met with @PScotlandCSG in the margins of #COP27. We discussed impacts of #climatechange on small states. I thanked her for entrusting #Malta to serve on the Commonwealth Ministerial Action Group where we will keep on advocating in favour of sustainable development goals. - RA https://t.co/0DWi7Sv5kR,margin #cop discuss impact #climatechang small state thank entrust #malta serv commonwealth ministeri action group keep advoc favour sustain develop goal,"['margin', '#', 'cop', 'discuss', 'impact', '#', 'climatechang', 'small', 'state', 'thank', 'entrust', '#', 'malta', 'serv', 'commonwealth', 'ministeri', 'action', 'group', 'keep', 'advoc', 'favour', 'sustain', 'develop', 'goal']",1
DFD035A3-9B62-ED11-B67D-D85ED3AE4DFE,"Arrived in Sharm El-Sheikh for #COP27. #Malta is committed to the Paris principles as well as our resolve to keep the 1.5-degree target alive. But now, collectively &amp; globally, we must move beyond to take decisive action. – RA",arriv sharm sheikh #cop #malta commit pari principl well resolv keep degre target aliv collect global must move beyond take decis action,"['arriv', 'sharm', 'sheikh', '#', 'cop', '#', 'malta', 'commit', 'pari', 'principl', 'well', 'resolv', 'keep', 'degre', 'target', 'aliv', 'collect', 'global', 'must', 'move', 'beyond', 'take', 'decis', 'action']",0
DFD035A3-9B62-ED11-B67D-D85ED3AE4DFE,I pay tribute to former PM and PL Leader Karmenu Mifsud Bonnici. A politician who stood up for the working class and social justice. Thank you for your relentless service to the nation. Sincere condolences to his family. - RA https://t.co/01B3L5BBQy,tribut former leader karmenu mifsud bonnici politician stood work class social justic thank relentless servic nation sincer condol famili,"['tribut', 'former', 'leader', 'karmenu', 'mifsud', 'bonnici', 'politician', 'stood', 'work', 'class', 'social', 'justic', 'thank', 'relentless', 'servic', 'nation', 'sincer', 'condol', 'famili']",0
DFD035A3-9B62-ED11-B67D-D85ED3AE4DFE,"By continuing to protect families and firms from the effects of extreme economic shocks, while at the same time increasing public investment, Budget 2023 provides the certainty and stability required to build a new prosperity for our country. - RA",continu protect famili firm effect extrem econom shock time increas public invest budget provid certainti stabil requir build prosper countri,"['continu', 'protect', 'famili', 'firm', 'effect', 'extrem', 'econom', 'shock', 'time', 'increas', 'public', 'invest', 'budget', 'provid', 'certainti', 'stabil', 'requir', 'build', 'prosper', 'countri']",0
